Held,Kategorie,Talent,Eigenschaft 1,Eigenschaft 2,Eigenschaft 3,Modifikator,Erfolg,TaP/ZfP,TaW/ZfW,Eigenschaftswert 1,Eigenschaftswert 2,Eigenschaftswert 3
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,14,14,14,15,13
Elanor Walham,Wissen,Magiekunde,KL,KL,IN,-7,1,3,5,13,13,15
Elanor Walham,Wissen,Tierkunde,MU,KL,IN,-7,1,6,6,11,13,15
Elanor Walham,Wissen,Tierkunde,MU,KL,IN,7,0,-4,6,11,13,15
Elanor Walham,Wissen,Magiekunde,KL,KL,IN,7,0,-5,5,13,13,15
Akira Masamune,Wissen,Sagen/Legenden,KL,IN,CH,0,1,10,10,14,15,13
Hanzo Shimada,Körper,Schleichen,MU,IN,GE,0,1,6,13,13,15,14
Hanzo Shimada,Körper,Schleichen,MU,IN,GE,0,1,0,0,15,13,15
Akira Masamune,Körper,Schleichen,MU,IN,GE,0,0,-5,6,13,15,13
Walpurga Hausmännin,Körper,Schleichen,MU,IN,GE,0,0,-4,7,13,13,11
Elanor Walham,Körper,Schleichen,MU,IN,GE,0,0,-6,5,11,15,16
Bargaan Treuwall,Körper,Sich verstecken,MU,IN,KK,0,0,-1,5,15,13,16
Hanzo Shimada,Körper,Sich verstecken,MU,IN,KK,0,1,4,9,13,15,12
Bargaan Treuwall,Körper,Sich verstecken,MU,IN,KK,0,1,2,5,15,13,16
Bargaan Treuwall,Körper,Athletik,GE,KO,KK,0,1,5,5,15,15,16
Elanor Walham,Körper,Schleichen,MU,IN,GE,0,1,4,5,11,15,16
Akira Masamune,Körper,Klettern,MU,GE,KK,4,1,1,5,13,13,15
Akira Masamune,Gesellschaft,Menschenkenntnis,KL,IN,CH,0,1,9,9,14,15,13
Akira Masamune,Körper,Klettern,MU,GE,KK,0,1,0,5,13,13,15
Akira Masamune,Körper,Athletik,GE,KO,KK,0,1,10,10,13,13,15
Elanor Walham,Körper,Sinnesschärfe,KL,IN,IN,0,1,8,8,13,15,15
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,0,-1,7,12,13,12
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,1,0,7,12,13,12
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,5,10,14,15,15
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,14,14,14,15,15
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,0,-2,7,12,13,12
Elanor Walham,Körper,Sinnesschärfe,KL,IN,IN,0,1,6,10,13,15,15
Walpurga Hausmännin,Körper,Sinnesschärfe,KL,IN,IN,0,1,3,9,13,13,13
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,14,14,14,15,15
Hanzo Shimada,Natur,Wildnisleben,IN,GE,KO,-3,1,13,14,15,14,12
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,0,1,9,15,13,15,13
Akira Masamune,Gesellschaft,Menschenkenntnis,KL,IN,CH,0,1,3,9,14,15,13
Akira Masamune,Gesellschaft,Menschenkenntnis,KL,IN,CH,3,1,3,9,14,15,13
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,10,10,14,15,15
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,10,10,14,15,15
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,3,10,14,15,13
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,14,14,14,15,15
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,10,14,14,15,13
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,6,14,14,15,13
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,12,14,14,15,13
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,14,14,14,15,13
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,9,10,14,15,15
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,10,10,14,15,15
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,6,10,14,15,15
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,12,14,14,15,13
Akira Masamune,Gaben,Gefahreninstinkt,KL,IN,IN,0,1,2,7,14,15,15
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,5,10,14,15,15
Akira Masamune,Gaben,Gefahreninstinkt,KL,IN,IN,0,1,4,7,14,15,15
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,6,10,14,15,15
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,10,14,14,15,15
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,4,14,14,15,13
Akira Masamune,Wissen,Sagen/Legenden,KL,IN,CH,0,1,10,10,14,15,13
Walpurga Hausmännin,Handwerk,Alchemie,MU,KL,FF,0,1,12,12,13,13,11
Elanor Walham,Handwerk,Heilkunde Wunden,KL,CH,FF,0,1,11,11,13,11,12
Hanzo Shimada,Natur,Wildnisleben,IN,GE,KO,-3,1,14,14,15,14,12
Bargaan Treuwall,Natur,Wildnisleben,IN,GE,KO,0,1,4,9,13,15,15
Bargaan Treuwall,Natur,Wildnisleben,IN,GE,KO,0,1,5,9,13,15,15
Hanzo Shimada,Natur,Wildnisleben,IN,GE,KO,-3,1,12,14,15,14,12
Bargaan Treuwall,Natur,Wildnisleben,IN,GE,KO,0,1,8,9,13,15,15
Hanzo Shimada,Natur,Wildnisleben,IN,GE,KO,-3,1,14,14,15,14,12
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,12,14,14,15,15
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,7,10,14,15,15
Elanor Walham,Körper,Sinnesschärfe,KL,IN,IN,0,1,10,10,13,15,15
Walpurga Hausmännin,Körper,Sinnesschärfe,KL,IN,IN,0,1,9,9,13,13,13
Walpurga Hausmännin,Natur,Orientierung,KL,IN,IN,0,0,-3,4,13,13,13
Walpurga Hausmännin,Natur,Orientierung,KL,IN,IN,0,1,0,4,13,13,13
Walpurga Hausmännin,Körper,Selbstbeherrschung,MU,KO,KK,0,1,5,5,15,15,16
Hanzo Shimada,Handwerk,Heilkunde Gift,MU,KL,IN,0,1,3,5,14,14,15
Elanor Walham,Handwerk,Heilkunde Gift,MU,KL,IN,6,0,-10,11,11,13,15
Elanor Walham,Handwerk,Heilkunde Gift,MU,KL,IN,14,1,0,11,11,13,15
Elanor Walham,Handwerk,Heilkunde Gift,MU,KL,IN,14,0,-2,11,11,13,15
Elanor Walham,Handwerk,Heilkunde Gift,MU,KL,IN,0,1,2,11,11,13,15
Walpurga Hausmännin,Handwerk,Heilkunde Gift,MU,KL,IN,-1,1,3,10,13,13,13
Elanor Walham,Handwerk,Heilkunde Wunden,KL,CH,FF,0,1,11,11,13,11,12
Walpurga Hausmännin,Handwerk,Heilkunde Wunden,KL,CH,FF,0,1,13,13,13,12,11
Walpurga Hausmännin,Handwerk,Alchemie,MU,KL,FF,0,1,0,12,13,13,11
Walpurga Hausmännin,Wissen,Magiekunde,KL,KL,IN,0,1,8,12,13,13,13
Walpurga Hausmännin,Handwerk,Alchemie,MU,KL,FF,3,1,4,12,13,13,11
Akira Masamune,Wissen,Schätzen,KL,IN,IN,0,1,3,8,14,15,15
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,10,0,-2,15,13,15,13
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,13,1,2,15,13,15,13
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,12,0,-2,17,13,15,13
Akira Masamune,Gesellschaft,Menschenkenntnis,KL,IN,CH,0,1,9,9,14,15,13
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,10,10,14,15,15
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,10,10,14,15,15
Akira Masamune,Wissen,Mechanik,KL,KL,FF,0,1,4,4,14,14,13
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,9,10,14,15,15
Akira Masamune,Natur,Orientierung,KL,IN,IN,0,1,4,7,14,15,15
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,10,10,14,15,15
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,8,10,14,15,13
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,10,10,14,15,15
Akira Masamune,Körper,Schwimmen,GE,Ko,KK,0,1,3,10,14,13,15
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,0,1,9,9,13,15,14
Akira Masamune,Körper,Schwimmen,GE,Ko,KK,0,1,4,10,14,13,15
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,0,1,4,9,13,15,14
Akira Masamune,Natur,Fesseln/Entfesseln,FF,GE,KK,0,1,3,10,13,14,15
Akira Masamune,Körper,Athletik,GE,KO,KK,0,1,10,10,14,13,15
Akira Masamune,Körper,Schwimmen,GE,Ko,KK,0,1,10,10,14,13,15
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,5,10,14,15,15
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,8,10,14,15,13
Akira Masamune,Körper,Selbstbeherrschung,MU,KO,KK,0,1,9,9,13,13,15
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,12,12,14,15,13
Akira Masamune,Körper,Selbstbeherrschung,MU,KO,KK,0,1,4,9,13,13,15
Walpurga Hausmännin,Körper,Sinnesschärfe,KL,IN,IN,0,1,7,9,13,13,13
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,1,4,7,13,13,13
Bargaan Treuwall,Natur,Fährtensuchen,KL,IN,IN,0,0,-5,0,13,13,13
Akira Masamune,Natur,Fährtensuchen,KL,IN,IN,0,0,-6,0,14,15,15
Walpurga Hausmännin,Natur,Fährtensuchen,KL,IN,IN,0,1,5,5,13,13,13
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,7,10,14,15,13
Walpurga Hausmännin,Körper,Sinnesschärfe,KL,IN,IN,0,0,-1,9,13,13,13
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,1,7,7,13,13,12
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,12,12,14,15,13
Walpurga Hausmännin,Körper,Sinnesschärfe,KL,IN,IN,0,1,4,9,13,13,13
Bargaan Treuwall,Körper,Selbstbeherrschung,MU,KO,KK,0,0,-2,5,15,15,16
Akira Masamune,Körper,Selbstbeherrschung,MU,KO,KK,-3,1,9,9,13,13,15
Walpurga Hausmännin,Körper,Selbstbeherrschung,MU,KO,KK,-3,1,2,4,13,13,12
Walpurga Hausmännin,Körper,Athletik,GE,KO,KK,0,1,7,8,16,9,9
Bargaan Treuwall,Körper,Schleichen,MU,IN,GE,0,0,-10,0,15,14,15
Bargaan Treuwall,Körper,Sich verstecken,MU,IN,KK,0,1,5,5,15,14,16
Bargaan Treuwall,Körper,Sich verstecken,MU,IN,KK,1,1,4,5,15,14,16
Bargaan Treuwall,Natur,Wildnisleben,IN,GE,KO,0,0,-1,9,14,15,15
Akira Masamune,Wissen,Gesteinskunde,KL,IN,FF,0,1,0,7,14,15,13
Akira Masamune,Wissen,Gesteinskunde,KL,IN,FF,0,1,3,7,14,15,13
Akira Masamune,Wissen,Schätzen,KL,IN,IN,0,1,8,8,14,15,15
Akira Masamune,Wissen,Schätzen,KL,IN,IN,0,1,8,8,14,15,15
Akira Masamune,Wissen,Schätzen,KL,IN,IN,0,1,8,8,14,15,15
Akira Masamune,Wissen,Schätzen,KL,IN,IN,0,1,8,8,14,15,15
Akira Masamune,Handwerk,Grobschmied,FL,KO,KK,0,1,13,18,13,13,15
Walpurga Hausmännin,Wissen,Magiekunde,KL,KL,IN,0,1,14,14,14,14,13
Elanor Walham,Körper,Sinnesschärfe,KL,IN,IN,0,1,5,10,13,15,15
Elanor Walham,Körper,Sinnesschärfe,KL,IN,IN,0,1,9,10,13,15,15
Elanor Walham,Körper,Sinnesschärfe,KL,IN,IN,-1,1,10,10,13,15,15
Elanor Walham,Körper,Selbstbeherrschung,MU,KO,KK,0,1,1,9,11,12,11
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,4,1,6,14,14,15,15
Hanzo Shimada,Körper,Selbstbeherrschung,MU,KO,KK,9,0,-20,6,14,12,12
Elanor Walham,Wissen,Tierkunde,MU,KL,IN,0,1,1,7,11,13,15
Bargaan Treuwall,Wissen,Tierkunde,MU,KL,IN,0,0,-7,3,15,13,14
Walpurga Hausmännin,Handwerk,Heilkunde Wunden,KL,CH,FF,-3,1,14,14,14,12,11
Walpurga Hausmännin,Handwerk,Heilkunde Wunden,KL,CH,FF,0,1,7,14,14,12,11
Akira Masamune,Körper,Selbstbeherrschung,MU,KO,KK,0,1,2,9,13,13,15
Bargaan Treuwall,Körper,Selbstbeherrschung,MU,KO,KK,0,0,-4,5,15,15,16
Bargaan Treuwall,Natur,Wildnisleben,IN,GE,KO,0,1,9,9,14,15,15
Hanzo Shimada,Meta-Talent,Nahrungsammeln,MU,IN,FF,5,1,10,15,14,15,13
Hanzo Shimada,Meta-Talent,Nahrungsammeln,MU,IN,FF,5,1,10,15,14,15,13
Hanzo Shimada,Meta-Talent,Kräutersuchen,MU,IN,FF,5,1,10,15,14,15,13
Bargaan Treuwall,Natur,Wildnisleben,IN,GE,KO,0,1,9,9,14,15,15
Bargaan Treuwall,Natur,Wildnisleben,IN,GE,KO,0,1,9,9,14,15,15
Akira Masamune,Gesellschaft,Menschenkenntnis,KL,IN,CH,0,1,9,9,14,15,13
Akira Masamune,Wissen,Gesteinskunde,KL,IN,FF,0,1,6,7,14,15,13
Akira Masamune,Wissen,Rechnen,KL,KL,IN,0,1,1,2,14,14,15
Walpurga Hausmännin,Handwerk,Heilkunde Wunden,KL,CH,FF,0,1,12,14,14,12,11
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,10,10,14,15,13
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,4,10,14,15,13
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,0,1,11,15,13,15,13
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,7,1,3,10,14,15,15
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,8,10,14,15,15
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,6,10,14,15,15
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,10,10,14,15,13
Bargaan Treuwall,Körper,Schwimmen,GE,Ko,KK,0,1,3,5,15,15,16
Bargaan Treuwall,Körper,Körperbeherrschung,MU,IN,GE,0,1,2,5,15,14,15
Akira Masamune,Gaben,Gefahreninstinkt,KL,IN,IN,0,1,7,7,14,15,15
Walpurga Hausmännin,Handwerk,Heilkunde Wunden,KL,CH,FF,-3,1,11,14,14,12,11
Bargaan Treuwall,Körper,Körperbeherrschung,MU,IN,GE,0,0,-2,5,15,14,15
Bargaan Treuwall,Körper,Körperbeherrschung,MU,IN,GE,0,1,5,5,15,14,15
Bargaan Treuwall,Körper,Klettern,MU,GE,KK,0,1,4,4,15,15,16
Akira Masamune,Wissen,Schätzen,KL,IN,IN,0,1,8,8,14,15,15
Akira Masamune,Wissen,Schätzen,KL,IN,IN,0,1,3,8,14,15,15
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,1,7,7,13,14,12
Walpurga Hausmännin,Handwerk,Heilkunde Wunden,KL,CH,FF,-3,1,11,14,14,12,11
Walpurga Hausmännin,Handwerk,Heilkunde Wunden,KL,CH,FF,-3,1,4,14,14,12,11
Elanor Walham,Handwerk,Heilkunde Wunden,KL,CH,FF,0,1,11,11,13,11,10
Elanor Walham,Handwerk,Heilkunde Wunden,KL,CH,FF,0,1,11,11,13,11,10
Hanzo Shimada,Körper,Selbstbeherrschung,MU,KO,KK,0,1,4,6,14,12,12
Akira Masamune,Körper,Selbstbeherrschung,MU,KO,KK,0,0,-3,9,13,13,15
Akira Masamune,Körper,Selbstbeherrschung,MU,KO,KK,2,1,7,9,13,13,15
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,7,10,14,15,15
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,0,1,9,9,13,15,14
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,0,1,8,9,13,15,14
Walpurga Hausmännin,Handwerk,Heilkunde Wunden,KL,CH,FF,-3,1,14,14,14,12,11
Walpurga Hausmännin,Handwerk,Heilkunde Wunden,KL,CH,FF,-3,1,10,14,14,12,11
Walpurga Hausmännin,Handwerk,Heilkunde Wunden,KL,CH,FF,1,1,1,14,14,12,11
Walpurga Hausmännin,Handwerk,Heilkunde Wunden,KL,CH,FF,0,1,5,14,14,12,11
Akira Masamune,Körper,Selbstbeherrschung,MU,KO,KK,8,0,-9,9,13,13,15
Hanzo Shimada,Handwerk,Heilkunde Wunden,KL,CH,FF,0,1,5,9,14,10,13
Hanzo Shimada,Handwerk,Heilkunde Wunden,KL,CH,FF,0,1,4,9,14,10,13
Hanzo Shimada,Meta-Talent,Nahrungsammeln,MU,IN,FF,-3,1,15,15,14,15,13
Hanzo Shimada,Meta-Talent,Nahrungsammeln,MU,IN,FF,5,1,2,15,14,15,13
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,12,14,14,15,15
Walpurga Hausmännin,Handwerk,Heilkunde Wunden,KL,CH,FF,-3,1,12,14,14,12,11
Walpurga Hausmännin,Handwerk,Heilkunde Wunden,KL,CH,FF,-3,1,6,14,14,12,11
Hanzo Shimada,Körper,Sich verstecken,MU,IN,KK,0,0,-2,9,14,15,12
Hanzo Shimada,Körper,Sich verstecken,MU,IN,KK,3,0,-2,9,14,15,12
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,6,1,8,14,14,15,15
Hanzo Shimada,Körper,Sich verstecken,MU,IN,KK,6,1,0,9,14,15,12
Hanzo Shimada,Meta-Talent,Kräutersuchen,MU,IN,FF,-3,1,15,15,14,15,13
Elanor Walham,Körper,Sinnesschärfe,KL,IN,IN,-5,1,10,10,13,15,15
Elanor Walham,Körper,Sich verstecken,MU,IN,KK,0,0,-5,5,11,15,9
Elanor Walham,Körper,Sich verstecken,MU,IN,KK,3,0,-6,5,11,15,9
Bargaan Treuwall,Gesellschaft,Überreden,MU,IN,CH,0,1,0,0,15,14,11
Akira Masamune,Gesellschaft,Menschenkenntnis,KL,IN,CH,0,1,1,9,14,15,13
Akira Masamune,Gesellschaft,Menschenkenntnis,KL,IN,CH,3,1,1,9,14,15,13
Akira Masamune,Gesellschaft,Menschenkenntnis,KL,IN,CH,6,0,-1,9,14,15,13
Walpurga Hausmännin,Gesellschaft,Menschenkenntnis,KL,IN,CH,0,1,4,4,14,13,12
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,10,1,3,15,13,15,13
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,0,1,0,10,15,12,13
Hanzo Shimada,Handwerk,Fleischer,KL,FF,KK,0,0,-1,8,14,13,12
Hanzo Shimada,Handwerk,Fleischer,KL,FF,KK,3,1,5,8,14,13,12
Hanzo Shimada,Handwerk,Fleischer,KL,FF,KK,0,1,7,8,14,13,12
Hanzo Shimada,Handwerk,Fleischer,KL,FF,KK,0,1,8,8,14,13,12
Hanzo Shimada,Handwerk,Fleischer,KL,FF,KK,0,1,5,8,14,13,12
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,8,1,1,14,14,15,15
Akira Masamune,Wissen,Anatomie,MU,KL,FF,0,1,6,10,13,14,11
Hanzo Shimada,Körper,Taschendiebstahl,MU,IN,FF,0,1,10,10,14,15,13
Akira Masamune,Wissen,Schätzen,KL,IN,IN,0,1,5,8,14,15,15
Hanzo Shimada,Handwerk,Fleischer,KL,FF,KK,0,1,8,8,14,13,12
Hanzo Shimada,Handwerk,Fleischer,KL,FF,KK,0,0,-2,8,14,13,12
Hanzo Shimada,Handwerk,Fleischer,KL,FF,KK,0,0,-5,8,14,13,12
Hanzo Shimada,Handwerk,Fleischer,KL,FF,KK,0,1,7,8,14,13,12
Hanzo Shimada,Handwerk,Fleischer,KL,FF,KK,0,1,2,8,14,13,12
Hanzo Shimada,Handwerk,Fleischer,KL,FF,KK,0,1,4,8,14,13,12
Hanzo Shimada,Handwerk,Fleischer,KL,FF,KK,0,1,8,8,14,13,12
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,1,2,8,13,14,14
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,1,6,8,13,14,14
Bargaan Treuwall,Körper,Sich verstecken,MU,IN,KK,0,1,1,5,15,14,16
Bargaan Treuwall,Körper,Körperbeherrschung,MU,IN,GE,0,1,1,6,15,14,15
Bargaan Treuwall,Natur,Fesseln/Entfesseln,FF,GE,KK,0,1,0,8,12,15,16
Bargaan Treuwall,Natur,Fischen/Angeln,IN,FF,KK,0,1,7,7,14,12,16
Hanzo Shimada,Gesellschaft,Überreden,MU,IN,CH,0,1,6,9,14,15,10
Hanzo Shimada,Wissen,Rechnen,KL,KL,IN,0,0,-3,2,14,14,15
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,0,1,12,15,13,16,13
Akira Masamune,Wissen,Schätzen,KL,IN,IN,0,1,6,8,14,16,16
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,0,1,12,15,13,16,13
Bargaan Treuwall,Natur,Wildnisleben,IN,GE,KO,0,1,7,9,14,15,15
Hanzo Shimada,Meta-Talent,Nahrungsammeln,MU,IN,FF,1,1,14,15,14,15,13
Akira Masamune,Wissen,Schätzen,KL,IN,IN,0,1,8,8,14,16,16
Walpurga Hausmännin,Wissen,Magiekunde,KL,KL,IN,0,1,14,14,14,14,13
Walpurga Hausmännin,Wissen,Sagen/Legenden,KL,IN,CH,0,1,7,7,14,13,12
Akira Masamune,Wissen,Sagen/Legenden,KL,IN,CH,0,1,5,10,14,16,13
Hanzo Shimada,Handwerk,Kochen,KL,IN,FF,0,1,7,11,14,15,13
Akira Masamune,Körper,Selbstbeherrschung,MU,KO,KK,0,1,5,9,13,13,15
Bargaan Treuwall,Körper,Selbstbeherrschung,MU,KO,KK,0,1,5,5,15,15,16
Walpurga Hausmännin,Körper,Selbstbeherrschung,MU,KO,KK,0,0,-1,7,13,13,12
Walpurga Hausmännin,Körper,Selbstbeherrschung,MU,KO,KK,0,0,-2,7,13,13,12
Hanzo Shimada,Meta-Talent,Nahrungsammeln,MU,IN,FF,5,1,10,15,14,15,13
Hanzo Shimada,Gesellschaft,Menschenkenntnis,KL,IN,CH,0,1,1,9,14,15,10
Hanzo Shimada,Körper,Taschendiebstahl,MU,IN,FF,0,1,4,10,14,15,13
Akira Masamune,Wissen,Sagen/Legenden,KL,IN,CH,0,1,5,10,14,16,13
Walpurga Hausmännin,Wissen,Sagen/Legenden,KL,IN,CH,0,1,7,7,14,13,12
Hanzo Shimada,Körper,Athletik,GE,KO,KK,0,1,5,6,14,12,12
Bargaan Treuwall,Körper,Athletik,GE,KO,KK,0,0,-1,5,15,15,16
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,5,14,14,15,15
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,1,5,8,13,14,14
Hanzo Shimada,Natur,Wildnisleben,IN,GE,KO,0,1,16,16,15,14,12
Bargaan Treuwall,Natur,Wildnisleben,IN,GE,KO,0,1,5,9,14,15,15
Bargaan Treuwall,Körper,Selbstbeherrschung,MU,KO,KK,0,1,5,5,15,15,16
Hanzo Shimada,Körper,Selbstbeherrschung,MU,KO,KK,8,0,-8,6,14,12,12
Hanzo Shimada,Natur,Fesseln/Entfesseln,FF,GE,KK,0,1,8,9,13,14,12
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,14,14,14,15,15
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,1,5,8,13,14,14
Elanor Walham,Körper,Sinnesschärfe,KL,IN,IN,-4,1,7,10,13,15,15
Hanzo Shimada,Körper,Schleichen,MU,IN,GE,0,0,2,13,14,15,14
Bargaan Treuwall,Körper,Schleichen,MU,IN,GE,0,1,3,5,15,14,15
Elanor Walham,Körper,Schleichen,MU,IN,GE,0,1,7,8,11,15,16
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,-7,1,14,14,14,15,15
Bargaan Treuwall,Wissen,Sagen/Legenden,KL,IN,CH,0,0,-1,5,13,14,11
Hanzo Shimada,Wissen,Sagen/Legenden,KL,IN,CH,0,0,-8,2,14,15,10
Hanzo Shimada,Wissen,Tierkunde,MU,KL,IN,0,1,11,11,14,14,15
Hanzo Shimada,Natur,Wildnisleben,IN,GE,KO,0,1,9,16,15,14,12
Bargaan Treuwall,Körper,Sich verstecken,MU,IN,KK,0,1,5,5,15,14,16
Hanzo Shimada,Körper,Sich verstecken,MU,IN,KK,0,1,9,9,14,15,12
Bargaan Treuwall,Natur,Wildnisleben,IN,GE,KO,0,1,5,9,14,15,15
Bargaan Treuwall,Körper,Taschendiebstahl,MU,IN,FF,0,1,1,10,14,15,13
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,10,10,14,16,16
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,8,10,14,16,16
Hanzo Shimada,Gesellschaft,Überreden,MU,IN,CH,0,1,9,9,14,15,10
Hanzo Shimada,Körper,Taschendiebstahl,MU,IN,FF,5,1,5,10,14,15,13
Akira Masamune,Gesellschaft,Menschenkenntnis,KL,IN,CH,0,1,9,9,14,16,13
Hanzo Shimada,Natur,Wildnisleben,IN,GE,KO,-3,1,11,16,15,14,12
Bargaan Treuwall,Natur,Wildnisleben,IN,GE,KO,8,1,1,9,14,15,15
Hanzo Shimada,Meta-Talent,Nahrungsammeln,MU,IN,FF,5,1,3,15,14,15,13
Hanzo Shimada,Meta-Talent,Kräutersuchen,MU,IN,FF,5,1,4,15,14,15,13
Hanzo Shimada,Handwerk,Kochen,KL,IN,FF,0,1,9,11,14,15,13
Hanzo Shimada,Körper,Singen,IN,CH,CH,0,0,-9,0,15,10,10
Hanzo Shimada,Körper,Selbstbeherrschung,MU,KO,KK,0,0,-1,6,14,12,12
Akira Masamune,Körper,Selbstbeherrschung,MU,KO,KK,0,1,0,9,13,13,15
Elanor Walham,Körper,Selbstbeherrschung,MU,KO,KK,3,1,6,9,11,12,11
Bargaan Treuwall,Körper,Selbstbeherrschung,MU,KO,KK,0,1,0,5,15,15,16
Bargaan Treuwall,Körper,Selbstbeherrschung,MU,KO,KK,6,0,-5,5,15,15,16
Walpurga Hausmännin,Körper,Körperbeherrschung,MU,IN,GE,6,0,-13,4,13,13,11
Walpurga Hausmännin,Körper,Selbstbeherrschung,MU,KO,KK,6,0,-5,7,13,13,12
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,13,14,14,15,15
Hanzo Shimada,Meta-Talent,Nahrungsammeln,MU,IN,FF,5,1,3,15,14,15,13
Hanzo Shimada,Natur,Fährtensuchen,KL,IN,IN,0,1,2,10,14,15,15
Hanzo Shimada,Natur,Fährtensuchen,KL,IN,IN,3,1,7,10,14,15,15
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,2,10,14,16,16
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,14,14,14,15,15
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,1,0,8,13,14,14
Elanor Walham,Körper,Sinnesschärfe,KL,IN,IN,-5,1,10,10,13,15,15
